data_size,row_nmi_value,col_nmi_value,seed,categories_row_num,categories_col_num,categories_row,categories_col,execution_time
200x300,1.0,0.8259424489022154,2,0,10,"([], [])","([2, 3, 4, 6, 10, 12, 21, 26, 31, 35], [1, 7, 9, 11, 13, 14, 15, 19, 20, 25], [0, 5, 8, 16, 17, 18, 22, 23, 24, 27])",85.73
200x300,1.0,0.844010236272497,3,0,10,"([], [])","([2, 3, 4, 6, 10, 12, 21, 26, 31, 35], [1, 7, 9, 11, 13, 14, 15, 19, 20, 25], [0, 5, 8, 16, 17, 18, 22, 23, 24, 27])",84.02
200x300,1.0,0.8380993100416074,4,0,10,"([], [])","([2, 3, 4, 6, 10, 12, 21, 26, 31, 35], [1, 7, 9, 11, 13, 14, 15, 19, 20, 25], [0, 5, 8, 16, 17, 18, 22, 23, 24, 27])",85.89
200x300,1.0,0.8380993100416074,5,0,10,"([], [])","([2, 3, 4, 6, 10, 12, 21, 26, 31, 35], [1, 7, 9, 11, 13, 14, 15, 19, 20, 25], [0, 5, 8, 16, 17, 18, 22, 23, 24, 27])",84.64
200x300,1.0,0.8380993100416074,6,0,10,"([], [])","([2, 3, 4, 6, 10, 12, 21, 26, 31, 35], [1, 7, 9, 11, 13, 14, 15, 19, 20, 25], [0, 5, 8, 16, 17, 18, 22, 23, 24, 27])",84.71
200x300,0.0,0.10709515042062139,7,0,10,"([], [])","([2, 3, 4, 6, 10, 12, 21, 26, 31, 35], [1, 7, 9, 11, 13, 14, 15, 19, 20, 25], [0, 5, 8, 16, 17, 18, 22, 23, 24, 27])",85.16
200x300,1.0,0.8259424489022154,8,0,10,"([], [])","([2, 3, 4, 6, 10, 12, 21, 26, 31, 35], [1, 7, 9, 11, 13, 14, 15, 19, 20, 25], [0, 5, 8, 16, 17, 18, 22, 23, 24, 27])",85.41
200x300,0.0,0.10709515042062139,9,0,10,"([], [])","([2, 3, 4, 6, 10, 12, 21, 26, 31, 35], [1, 7, 9, 11, 13, 14, 15, 19, 20, 25], [0, 5, 8, 16, 17, 18, 22, 23, 24, 27])",84.17
200x300,1.0,0.8319151054125128,0,0,15,"([], [])","([2, 3, 4, 6, 10, 12, 21, 26, 31, 35, 40, 41, 44, 45, 47], [1, 7, 9, 11, 13, 14, 15, 19, 20, 25, 29, 32, 34, 38, 39], [0, 5, 8, 16, 17, 18, 22, 23, 24, 27, 28, 30, 33, 36, 37])",84.01
200x300,1.0,0.8653336410826014,1,0,15,"([], [])","([2, 3, 4, 6, 10, 12, 21, 26, 31, 35, 40, 41, 44, 45, 47], [1, 7, 9, 11, 13, 14, 15, 19, 20, 25, 29, 32, 34, 38, 39], [0, 5, 8, 16, 17, 18, 22, 23, 24, 27, 28, 30, 33, 36, 37])",85.01
200x300,1.0,0.8434062947487727,2,0,15,"([], [])","([2, 3, 4, 6, 10, 12, 21, 26, 31, 35, 40, 41, 44, 45, 47], [1, 7, 9, 11, 13, 14, 15, 19, 20, 25, 29, 32, 34, 38, 39], [0, 5, 8, 16, 17, 18, 22, 23, 24, 27, 28, 30, 33, 36, 37])",84.57
200x300,1.0,0.8319151054125128,3,0,15,"([], [])","([2, 3, 4, 6, 10, 12, 21, 26, 31, 35, 40, 41, 44, 45, 47], [1, 7, 9, 11, 13, 14, 15, 19, 20, 25, 29, 32, 34, 38, 39], [0, 5, 8, 16, 17, 18, 22, 23, 24, 27, 28, 30, 33, 36, 37])",83.80
